taxon,n.taxa
Leucosceptrum,1
Rostrinucula,2
Comanthosphace,5
Eurysolen,1
Craniotome,1
Cymaria,2
Chelonopsis,18
Bostrychanthera,2
Chamaesphacos,1
Stachys,36
Suzukia,2
Sideritis,2
Gomphostemma,21
Paraphlomis,36
Chaiturus,1
Lagopsis,3
Panzerina,7
Leonurus,12
Lagochilus,11
Galeobdolon,8
Phlomis,58
Eremostachys,5
Notochaete,2
Loxocalyx,4
Marrubium,1
Lamium,4
Eriophyton,2
Stachyopsis,3
Leucas,11
Colquhounia,13
Pogostemon,18
Dysophylla,7
Colebrookea,1
Microtoena,28
Wenchengia,1
Scutellaria,142
Rubiteucris,1
Schnabelia,4
Teucrium,32
Kinostemon,3
Caryopteris,18
Ajuga,36
Clerodendrum,48
Gmelina,7
Premna,56
Vitex,26
Sphenodesme,4
Congea,2
Siphocranion,2
Hanceola,8
Anisochilus,2
Ocimum,7
Mesona,2
Coleus,8
Basilicum,1
Orthosiphon,5
Isodon,95
Skapanthus,3
Ceratanthus,1
Salvia,126
Lycopus,9
Thymus,14
Micromeria,5
Calamintha,1
Clinopodium,11
Ziziphora,4
Mentha,12
Prunella,6
Hyssopus,3
Heterolamium,4
Marmoritis,5
Nepeta,42
Dracocephalum,43
Lallemantia,1
Glechoma,8
Meehania,13
Melissa,4
Elsholtzia,42
Mosla,14
Perilla,4
Stachytarpheta,1
Utricularia,29
Pinguicula,2
Pauldopia,1
Mayodendron,1
Radermachera,7
Stereospermum,3
Fernandoa,1
Markhamia,3
Incarvillea,20
Catalpa,4
Nyctocalos,2
Oroxylum,1
Millingtonia,1
Campsis,1
Acanthus,3
Kudoacanthus,1
Echinacanthus,3
Pararuellia,5
Eranthemum,4
Ruellia,4
Hygrophila,8
Phaulopsis,1
Strobilanthes,135
Hypoestes,3
Clinacanthus,1
Leptostachya,1
Isoglossa,2
Dicliptera,4
Peristrophe,10
Rhinacanthus,2
Justicia,43
Rungia,16
Asystasia,6
Pseuderanthemum,7
Codonacanthus,1
Cosmianthemum,3
Mackaya,1
Blepharis,1
Lepidagathis,7
Chroesthes,1
Barleria,4
Phlogacanthus,2
Cystacanthus,8
Gymnostachyum,3
Andrographis,2
Thunbergia,6
Avicennia,1
Staurogyne,17
Lindernia,30
Torenia,10
Picria,1
Buddleja,22
Limosella,1
Scrophularia,40
Oreosolen,1
Verbascum,6
Lerchea,2
Ophiorrhiza,72
Spiradiclis,37
Xanthophytum,4
Morinda,39
Mitchella,1
Damnacanthus,11
Prismatomeris,1
Psychotria,18
Nertera,3
Hedyotis,76
Richardia,2
Neanotis,8
Knoxia,2
Argostemma,6
Neohymenopogon,2
Myrioneuron,4
Mycetia,17
Leptomischus,5
Theligonum,3
Kelloggia,1
Rubia,40
Galium,103
Asperula,2
Paederia,9
Saprosma,5
Leptodermis,48
Dunnia,1
Urophyllum,3
Lasianthus,45
Acranthera,1
Coptosapelta,1
Scyphiphora,1
Ixora,18
Trailliaedoxa,1
Canthium,4
Wendlandia,48
Guihaiothamnus,1
Diplospora,3
Hyptianthera,1
Gardenia,7
Aidia,8
Brachytome,5
Porterandia,1
Fosbergia,3
Himalrandia,1
